Name,Hemisphere,Structure,Corrected Pval,Pval
MEnt,Left,FB,1.0,0.34467310653786926
DLEnt,Left,FB,1.0,0.9518609627807444
DIEnt,Left,FB,1.0,0.613487730245395
VCl,Left,FB,1.0,0.06905861882762344
Sthal,Left,FB,1.0,0.09799804003919922
SPT,Left,FB,1.0,0.34709305813883723
GP,Left,FB,1.0,0.7604047919041619
DpMe,Left,MB,1.0,0.019199616007679846
Sub_PP,Left,FB,1.0,0.38161236775264495
RTN,Left,FB,1.0,0.0627587448251035
ZI,Left,FB,1.0,0.009839803203935921
LGN,Left,FB,1.0,0.6545069098618027
MGN,Left,FB,1.0,0.9062218755624888
LDNT,Left,FB,1.0,0.010939781204375913
VT,Left,FB,1.0,0.5537089258214836
Thal_R,Left,FB,1.0,0.14173716525669486
VTA,Left,FB,1.0,0.4164716705665887
APT,Left,FB,1.0,0.0623787524249515
PAG,Left,FB,1.0,0.2007759844803104
Vpal,Left,FB,1.0,0.0875782484350313
BNst,Left,FB,1.0,0.08027839443211136
Acb,Left,FB,1.0,0.875462490750185
Amy,Left,FB,1.0,0.3477330453390932
CPu,Left,FB,1.0,0.03659926801463971
CEnt,Left,FB,1.0,0.2716345673086538
SC,Left,MB,1.0,0.03597928041439171
VO,Left,FB,1.0,0.8138437231255375
V2ML,Left,FB,1.0,0.04765904681906362
LO,Left,FB,1.0,0.6075478490430192
Ins,Left,FB,1.0,0.07357852842943141
FrA,Left,FB,1.0,0.6094078118437631
Fr3,Left,FB,1.0,0.07157856842863143
DLO,Left,FB,1.0,0.20537589248215035
AuV,Left,FB,1.0,0.8375432491350173
AuD,Left,FB,1.0,0.2665546689066219
LPtA,Left,FB,1.0,0.12591748165036698
Au1,Left,FB,1.0,0.380672386552269
A30,Left,FB,1.0,0.2360552788944221
A29c,Left,FB,1.0,0.03195936081278374
A29b,Left,FB,1.0,0.17807643847123059
A29a,Left,FB,1.0,0.12069758604827903
A24bPrime,Left,FB,1.0,0.5936281274374513
A24b,Left,FB,1.0,0.03625927481450371
