region1,region2,statistic,pvalue,hierarchy_level,corrected_pvalue,significant
L-FB-SP,R-HB-PO,8.910112359550666,0.011619667066008582,3,0.027620520074938433,True
L-FB-SP,R-HB-PP,25.75361347755304,2.556665369099092e-06,3,1.2638061767705739e-05,True
L-FB-SP,R-MB-DI,2.3428571428571554,0.30992387647102243,3,0.39652025372027866,False
L-FB-SP,R-MB-MB,14.206597222222287,0.0008223877069818713,3,0.0024671631209456143,True
L-FB-SP,R-VS-VS,6.818414322250638,0.033067407111497665,3,0.06759303523072928,False
L-FB-SP,R-WM-FB,23.012622720897898,1.006636026014286e-05,3,4.6583688437895156e-05,True
L-FB-SP,R-WM-HB,10.24239864864849,0.00596886000156047,3,0.015478231824661163,True
L-FB-SP,R-WM-MB,4.568914956011721,0.10182929175370392,3,0.1652826190778403,False
L-HB-BS,L-HB-BS,,,3,,
L-HB-BS,L-HB-ME,,,3,,
L-HB-BS,L-HB-PM,4.8125000000000036,0.09015273423081621,3,0.14798656373737754,False
L-HB-BS,L-HB-PO,1.0769230769230769,0.5836454781435741,3,0.6331316284101116,False
L-HB-BS,L-HB-PP,2.2399999999999816,0.32627979462304246,3,0.41500500193281714,False
L-HB-BS,L-MB-DI,,,3,,
L-HB-BS,L-MB-MB,1.9999999999999574,0.3678794411714502,3,0.4167384294520479,False
L-HB-BS,L-VS-VS,1.9999999999999927,0.3678794411714437,3,0.4167384294520479,False
L-HB-BS,L-WM-FB,1.9999999999999523,0.36787944117145116,3,0.4167384294520479,False
L-HB-BS,L-WM-HB,0.32752613240418277,0.8489431413759576,3,0.8588145732524223,False
L-HB-BS,L-WM-MB,,,3,,
L-HB-BS,R-FB-DI,5.3580246913580245,0.06863090430109427,3,0.1189420054620558,False
L-HB-BS,R-FB-IS,1.0080645161300168,0.6040898957704299,3,0.6424916984355428,False
L-HB-BS,R-FB-PA,5.578181818181827,0.06147707677055508,3,0.10960052620980106,False
L-HB-BS,R-FB-SP,6.666666666666663,0.03567399334725246,3,0.07184345882432787,False
L-HB-BS,R-HB-BS,,,3,,
L-HB-BS,R-HB-ME,,,3,,
L-HB-BS,R-HB-PM,4.400000000000004,0.11080315836233366,3,0.17720358046917364,False
L-HB-BS,R-HB-PO,4.3076923076923075,0.11603700224776009,3,0.18330274576855976,False
L-HB-BS,R-HB-PP,4.39215686274509,0.11123853367110784,3,0.17724821299242458,False
L-HB-BS,R-MB-DI,,,3,,
L-HB-BS,R-MB-MB,1.0454545454545234,0.5929013373120953,3,0.6373279883340268,False
L-HB-BS,R-VS-VS,1.9999999999999927,0.3678794411714437,3,0.4167384294520479,False
L-HB-BS,R-WM-FB,2.102564102564053,0.34948939843696747,3,0.4167384294520479,False
L-HB-BS,R-WM-HB,1.1750000000000056,0.5557148366635698,3,0.6135430303265301,False
L-HB-BS,R-WM-MB,,,3,,
L-HB-ME,L-HB-ME,,,3,,
L-HB-ME,L-HB-PM,1.0222222222222208,0.5998287320415089,3,0.6410945907568952,False
L-HB-ME,L-HB-PO,1.9999999999999427,0.367879441171453,3,0.4167384294520479,False
L-HB-ME,L-HB-PP,10.16106719367592,0.006216590977485408,3,0.01600128446867546,True
L-HB-ME,L-MB-DI,2.000000000000024,0.36787944117143806,3,0.4167384294520479,False
L-HB-ME,L-MB-MB,3.738636363636257,0.15422878196235512,3,0.21641780694717572,False
L-HB-ME,L-VS-VS,,,3,,
L-HB-ME,L-WM-FB,1.0641025641025963,0.5873988123760966,3,0.6356181178696568,False
L-HB-ME,L-WM-HB,7.351190476190384,0.025334321080729978,3,0.05455658252533436,False
L-HB-ME,L-WM-MB,2.000000000000024,0.36787944117143806,3,0.4167384294520479,False
L-HB-ME,R-FB-DI,7.207207207207193,0.027225435782070505,3,0.05834021953300823,False
L-HB-ME,R-FB-IS,5.8702376461710895,0.05312440652545307,3,0.09891652952615457,False
L-HB-ME,R-FB-PA,2.0341880341880216,0.36164434694578207,3,0.4167384294520479,False
L-HB-ME,R-FB-SP,,,3,,
L-HB-ME,R-HB-BS,,,3,,
L-HB-ME,R-HB-ME,0.0,1.0,3,1.0,False
L-HB-ME,R-HB-PM,0.48421052631577916,0.7849735444086487,3,0.809155193880953,False
L-HB-ME,R-HB-PO,3.9038461538461657,0.14200073051488576,3,0.2045374760727659,False
L-HB-ME,R-HB-PP,10.004851425106153,0.0067216224837632526,3,0.017098864213081957,True
L-HB-ME,R-MB-DI,2.000000000000024,0.36787944117143806,3,0.4167384294520479,False
L-HB-ME,R-MB-MB,2.1363636363636465,0.3436327365685503,3,0.4167384294520479,False
L-HB-ME,R-VS-VS,,,3,,
L-HB-ME,R-WM-FB,2.075000000000201,0.3543394241305531,3,0.4167384294520479,False
L-HB-ME,R-WM-HB,0.8837209302324536,0.6428393277086634,3,0.6770825848747423,False
L-HB-ME,R-WM-MB,,,3,,
L-HB-PM,L-HB-PM,3.6615384615384596,0.1602902201705068,3,0.2220163201739753,False
L-HB-PM,L-HB-PO,7.091346153846158,0.028849198243818614,3,0.0612927684729662,False
L-HB-PM,L-HB-PP,34.029475587703445,4.0793715720752875e-08,3,3.113204620794298e-07,True
L-HB-PM,L-MB-DI,5.025210084033621,0.08105680757679017,3,0.13666554765854158,False
L-HB-PM,L-MB-MB,18.49999999999999,9.61116520613952e-05,3,0.00036998733315669836,True
L-HB-PM,L-VS-VS,4.117647058823509,0.1276040039797963,3,0.1900950059288061,False
L-HB-PM,L-WM-FB,26.416034669555764,1.8358236257663248e-06,3,9.683092911177685e-06,True
L-HB-PM,L-WM-HB,18.572443870134034,9.269259823068732e-05,3,0.00036001143062811594,True
L-HB-PM,L-WM-MB,0.3865546218487313,0.8242533679796946,3,0.843964900443106,False
L-HB-PM,R-FB-DI,29.176637906513697,4.6171456879319725e-07,3,2.7895255197922334e-06,True
L-HB-PM,R-FB-IS,6.362773887508884,0.04152801813539647,3,0.08174066918053152,False
L-HB-PM,R-FB-PA,15.250476190476029,0.00048797904420403587,3,0.0015841110763339969,True
L-HB-PM,R-FB-SP,6.654387865655501,0.03589368397436607,3,0.07195277663064166,False
L-HB-PM,R-HB-BS,8.17142857142857,0.016811127078476117,3,0.03808770978717245,True
L-HB-PM,R-HB-ME,3.38947368421054,0.18364755097217458,3,0.2488681765510777,False
L-HB-PM,R-HB-PM,3.655555555555532,0.16077043874667177,3,0.2220163201739753,False
L-HB-PM,R-HB-PO,9.964444444444428,0.006858803823352455,3,0.017338279045670285,True
L-HB-PM,R-HB-PP,30.667492378048674,2.1909811603745494e-07,3,1.4015835364160722e-06,True
L-HB-PM,R-MB-DI,1.936842105263174,0.3796820630588096,3,0.428991421897616,False
L-HB-PM,R-MB-MB,1.5465116279068953,0.46150803528604,3,0.5160822502555975,False
L-HB-PM,R-VS-VS,4.117647058823509,0.1276040039797963,3,0.1900950059288061,False
L-HB-PM,R-WM-FB,26.1830811213099,2.0626055162443953e-06,3,1.0681349994837047e-05,True
L-HB-PM,R-WM-HB,8.12413194444456,0.0172134199071422,3,0.03879708631920651,True
L-HB-PM,R-WM-MB,2.190476190476187,0.3344599641429021,3,0.4167384294520479,False
L-HB-PO,L-HB-PO,3.9038461538461657,0.14200073051488576,3,0.2045374760727659,False
L-HB-PO,L-HB-PP,31.104967340118503,1.7605248606997068e-07,3,1.1781974067759575e-06,True
L-HB-PO,L-MB-DI,2.5217391304347903,0.28340747803507216,3,0.3647403933291609,False
L-HB-PO,L-MB-MB,26.10101010101007,2.149006210186736e-06,3,1.0997855310955648e-05,True
L-HB-PO,L-VS-VS,4.093023255813942,0.1291847630152298,3,0.19179307819667224,False
L-HB-PO,L-WM-FB,19.536723163841728,5.72340485717854e-05,3,0.0002305260289696912,True
L-HB-PO,L-WM-HB,9.549454590023135,0.008440385508865283,3,0.020511551376292726,True
L-HB-PO,L-WM-MB,0.3295454545454452,0.8480864291022255,3,0.8588145732524223,False
L-HB-PO,R-FB-DI,15.452403572107276,0.0004411163936977986,3,0.0014536790246859272,True
L-HB-PO,R-FB-IS,11.975060592222512,0.002509855000803605,3,0.00691004383132638,True
L-HB-PO,R-FB-PA,6.5714285714289264,0.037413851367229946,3,0.07465607956305058,False
L-HB-PO,R-FB-SP,5.7609329446065525,0.056108583628432504,3,0.1025514028502863,False
L-HB-PO,R-HB-BS,1.0769230769230769,0.5836454781435741,3,0.6331316284101116,False
L-HB-PO,R-HB-ME,1.0357142857142565,0.5957958865191437,3,0.6383527355562254,False
L-HB-PO,R-HB-PM,14.667903525046414,0.0006529880281152529,3,0.002014537533547057,True
L-HB-PO,R-HB-PO,4.852459016393455,0.0883694013178562,3,0.14560867262601307,False
L-HB-PO,R-HB-PP,32.38596491228085,9.278485080273861e-08,3,6.509904854708274e-07,True
L-HB-PO,R-MB-DI,6.031999999999999,0.04899681416627522,3,0.09348076386986719,False
L-HB-PO,R-MB-MB,4.958333333333302,0.08381304069911177,3,0.1396884011651863,False
L-HB-PO,R-VS-VS,1.9999999999998876,0.367879441171463,3,0.4167384294520479,False
L-HB-PO,R-WM-FB,21.13222222222213,2.5774856097292734e-05,3,0.0001155882721888901,True
L-HB-PO,R-WM-HB,7.0888589287901835,0.028885097786110505,3,0.0612927684729662,False
L-HB-PO,R-WM-MB,0.5576923076922918,0.7566563029229882,3,0.7855500996933171,False
L-HB-PP,L-HB-PP,108.4611160634692,2.8052262636449037e-24,3,1.220273424685533e-22,True
L-HB-PP,L-MB-DI,21.093333333333394,2.6280938151805887e-05,3,0.00011640489966894269,True
L-HB-PP,L-MB-MB,77.83918595371082,1.2515134814229376e-17,3,2.722041822094889e-16,True
L-HB-PP,L-VS-VS,10.981366459627587,0.00412502487127449,3,0.01114525353418884,True
L-HB-PP,L-WM-FB,94.49368318756139,3.0266165913324204e-21,3,1.0971485143580023e-19,True
L-HB-PP,L-WM-HB,73.90428749332821,8.951336352191264e-17,3,1.7699233241832726e-15,True
L-HB-PP,L-WM-MB,2.8250000000000672,0.24353368725791252,3,0.3181295914630389,False
L-HB-PP,R-FB-DI,126.75478955913566,2.989146288120066e-28,3,2.167131058887048e-26,True
L-HB-PP,R-FB-IS,79.54901790609286,5.322923704155483e-18,3,1.2863732285042419e-16,True
L-HB-PP,R-FB-PA,44.83876880912023,1.8339397569249371e-10,3,1.7728084316941058e-09,True
L-HB-PP,R-FB-SP,13.39501294454259,0.0012339850455255308,3,0.0036269155054297697,True
L-HB-PP,R-HB-BS,4.895104895104879,0.08650505326064421,3,0.14307870026000089,False
L-HB-PP,R-HB-ME,8.081736909323181,0.017582196442876806,3,0.0392218228341098,True
L-HB-PP,R-HB-PM,23.824823029731036,6.706646456394049e-06,3,3.2059244049795725e-05,True
L-HB-PP,R-HB-PO,37.75847619047623,6.321950232873689e-09,3,5.392251669215793e-08,True
L-HB-PP,R-HB-PP,155.9147978583072,1.3916557602306103e-34,3,3.026851278501577e-32,True
L-HB-PP,R-MB-DI,10.462022471910183,0.005348114361717477,3,0.014099574226346077,True
L-HB-PP,R-MB-MB,37.87037037037024,5.977967646551035e-09,3,5.2008318524994006e-08,True
L-HB-PP,R-VS-VS,5.409090909090937,0.06690072635747946,3,0.11687476291366893,False
L-HB-PP,R-WM-FB,121.01393082694445,5.27422683664305e-27,3,2.867860842424658e-25,True
L-HB-PP,R-WM-HB,64.01778096287615,1.255207403244002e-14,3,1.882811104866003e-13,True
L-HB-PP,R-WM-MB,4.303122619954435,0.11630243179798275,3,0.18330274576855976,False
L-MB-DI,L-MB-DI,,,3,,
L-MB-DI,L-MB-MB,13.402343749999979,0.0012294702726576173,3,0.0036269155054297697,True
L-MB-DI,L-VS-VS,1.9999999999999662,0.36787944117144855,3,0.4167384294520479,False
L-MB-DI,L-WM-FB,16.91642228739003,0.00021215123951565034,3,0.000738642093621336,True
L-MB-DI,L-WM-HB,3.617936117936065,0.16382310538933623,3,0.22409764416465805,False
L-MB-DI,L-WM-MB,0.6875000000000081,0.7091061824373955,3,0.737945429091548,False
L-MB-DI,R-FB-DI,28.0092592592593,8.276879466447779e-07,3,4.615952010134338e-06,True
L-MB-DI,R-FB-IS,20.256916299559244,3.992698488412472e-05,3,0.00016700229254417551,True
L-MB-DI,R-FB-PA,5.439999999999965,0.06587475442640413,3,0.11601424362544857,False
L-MB-DI,R-FB-SP,3.4166666666666634,0.18116748694692242,3,0.24627455256847267,False
L-MB-DI,R-HB-BS,,,3,,
L-MB-DI,R-HB-ME,2.000000000000024,0.36787944117143806,3,0.4167384294520479,False
L-MB-DI,R-HB-PM,6.294736842105272,0.04296504413213744,3,0.08418826215080985,False
L-MB-DI,R-HB-PO,0.3602484472049587,0.8351664575810376,3,0.8519229751772922,False
L-MB-DI,R-HB-PP,18.35042735042736,0.00010357509267761833,3,0.00039522074837512256,True
L-MB-DI,R-MB-DI,0.6875000000000081,0.7091061824373955,3,0.737945429091548,False
L-MB-DI,R-MB-MB,5.874999999999977,0.052998058403356425,3,0.09891652952615457,False
L-MB-DI,R-VS-VS,,,3,,
L-MB-DI,R-WM-FB,14.870833333333362,0.0005899830993367849,3,0.001833161772939296,True
L-MB-DI,R-WM-HB,3.9612807148176232,0.13798085195398113,3,0.20072871495582606,False
L-MB-DI,R-WM-MB,4.400000000000001,0.11080315836233387,3,0.17720358046917364,False
L-MB-MB,L-MB-MB,17.984832069339117,0.00012434929780316594,3,0.0004663098667618723,True
L-MB-MB,L-VS-VS,5.269531249999945,0.07173578051202212,3,0.12382962112194293,False
L-MB-MB,L-WM-FB,61.1527435162342,5.2583618548229665e-14,3,7.148085646399971e-13,True
L-MB-MB,L-WM-HB,54.65746921821715,1.3529488002439447e-12,3,1.6348131336281e-11,True
L-MB-MB,L-WM-MB,5.581249999999959,0.0613828376501365,3,0.10960052620980106,False
L-MB-MB,R-FB-DI,78.30610279310046,9.909365076737183e-18,3,2.2687230570424606e-16,True
L-MB-MB,R-FB-IS,17.518523153941988,0.0001570004985770523,3,0.000573909385554771,True
L-MB-MB,R-FB-PA,25.601311183954664,2.7589632248492884e-06,3,1.3484820256285847e-05,True
L-MB-MB,R-FB-SP,12.719040479760102,0.0017301965920940763,3,0.004887243620525475,True
L-MB-MB,R-HB-BS,4.181818181818217,0.1235747440616117,3,0.18795459324056324,False
L-MB-MB,R-HB-ME,3.060465116278983,0.21648531603910906,3,0.28886844318101973,False
L-MB-MB,R-HB-PM,17.54281459419211,0.00015510514796078788,3,0.0005717859268045993,True
L-MB-MB,R-HB-PO,20.76302083333332,3.1000401043780604e-05,3,0.00013386517257787,True
L-MB-MB,R-HB-PP,125.56116051902612,5.42925728313201e-28,3,3.3738955973748916e-26,True
L-MB-MB,R-MB-DI,3.9578947368420665,0.13821464986966894,3,0.20072871495582606,False
L-MB-MB,R-MB-MB,15.001402524544304,0.0005526966489087597,3,0.0017421959585167425,True
L-MB-MB,R-VS-VS,2.977419354838704,0.2256636466617765,3,0.29836986716678654,False
L-MB-MB,R-WM-FB,77.57205666829508,1.4303486800483752e-17,3,2.962865122957349e-16,True
L-MB-MB,R-WM-HB,44.236677479147446,2.478149693463176e-10,3,2.3434676449053947e-09,True
L-MB-MB,R-WM-MB,4.2578397212542995,0.11896572404122777,3,0.18567427679760506,False
L-VS-VS,L-VS-VS,1.1428571428571388,0.5647181220077604,3,0.6203343006903428,False
L-VS-VS,L-WM-FB,2.551020408163261,0.2792884377637893,3,0.3605058469651286,False
L-VS-VS,L-WM-HB,7.897014925373169,0.01928346159345724,3,0.04279747853649949,True
L-VS-VS,L-WM-MB,6.799999999999988,0.033373269960326274,3,0.06759303523072928,False
L-VS-VS,R-FB-DI,3.889655172413723,0.14301187843301713,3,0.205314082898886,False
L-VS-VS,R-FB-IS,2.816666666666527,0.24455052790173065,3,0.3185014360396791,False
L-VS-VS,R-FB-PA,4.428653624856253,0.10922701977641051,3,0.1766310542852735,False
L-VS-VS,R-FB-SP,3.012787723785166,0.2217080479596693,3,0.29403353921480535,False
L-VS-VS,R-HB-BS,1.9999999999999927,0.3678794411714437,3,0.4167384294520479,False
L-VS-VS,R-HB-ME,,,3,,
L-VS-VS,R-HB-PM,4.117647058823509,0.1276040039797963,3,0.1900950059288061,False
L-VS-VS,R-HB-PO,8.585365853658514,0.013668205266196273,3,0.03162590048295414,True
L-VS-VS,R-HB-PP,9.181184668989392,0.010146846265900554,3,0.024521545142593006,True
L-VS-VS,R-MB-DI,1.9999999999999662,0.36787944117144855,3,0.4167384294520479,False
L-VS-VS,R-MB-MB,2.0579710144926944,0.35736932532077703,3,0.4167384294520479,False
L-VS-VS,R-VS-VS,0.8666666666666611,0.6483443410015115,3,0.6812313727914432,False
L-VS-VS,R-WM-FB,3.1531531531531583,0.20668144655560733,3,0.2774889791718802,False
L-VS-VS,R-WM-HB,7.700000000000022,0.021279736438376922,3,0.04675093611461596,True
L-VS-VS,R-WM-MB,3.6615384615384596,0.1602902201705068,3,0.2220163201739753,False
