ROI,structure,N57437,N57442,N57446,N57447,N57449,N57451,N57496,N57498,N57500,N57502,N57513,N57515,N57518,N57520,N57522,N57546,N57548,N57550,N57552,N57580,N57582,N57584,N57587,N57590,N57692,N57694,N57700,N57702,N57709,N58302,N58305,N58303,N58309,N58310,N58355,N58344,N58346,N58350,N58394,N58396,N58398,N58359,N58361,N58404,N58402,N58516,N58608,N58606,N58604,N58512,N58477,N58500,N58510,N58406,N58408,N58514,N58655,N58952,N58706,N58708,N58712,N58714,N58732,N58733,N58734,N58735,N58740,N58742,N58745,N58747,N58749,N58751,N58779,N58780,N58784,N58788,N58790,N58792,N58794,N58829,N58813,N58815,N58821,N58819,N58831,N58851,N58853,N58855,N59003,N58913,N58915,N58909,N58906,N58883,N58887,N58885,N58919,N58879,N58881,N58889,N58877,N60129,N60131,N60127,N60139,N58917,N58995,N59005,N58857,N58859,N58861,N59065,N59066,N59080,N58948,N59072,N58935,N59039,N58946,N58954,N59033,N59022,N59035,N59026,N59109,N59097,N59099,N59116,N59118,N59120,N59041,N58941,N60056,N60058,N60060,N60062,N60068,N59136,N59140,N59141,N60095,N60133,N60137,N60198,N60103,N60097,N60163,N60169,N60190,N60188,N60200,N60192,N58997,N58999,N59010,N59078,N59076,N60157,N60159,N60064,N60101,N60093,N60161,N60167,N60194,N60088,N60070,N60072,N60092
1026,Primary_Somatosensory_Cortex_Dysgranular_Zone,0.7564287,0.9116145,0.8353429,0.8468246,0.7964325,0.8228588,0.8504696,0.7919674,0.837621,0.7690039,0.8187581,0.78732,0.7920585,0.7879579,0.7886869,0.8234055,0.8858262,0.7810324,0.8337938,0.8205807,0.8453667,0.8378033,0.8563928,0.8785362,0.8031757,0.8522921,0.8068208,0.8353429,0.8061829,0.8204895,0.8727953,0.8724308,0.7923319,0.9204537,0.9006795,0.7934254,0.8170268,0.7528748,0.7540594,0.75087,0.7524192,0.7733779,0.7269953,0.8120149,0.8729776,0.7988018,0.8344316,0.7897804,0.7770229,0.8156599,0.7649032,0.829602,0.8090078,0.7543328,0.868239,0.7813058,0.7697329,0.7551529,0.8758024,0.8180292,0.7491387,0.8663254,0.7380214,0.7608938,0.7665435,0.7615317,0.75087,0.8375299,0.8196694,0.7322805,0.7788454,0.8302399,0.7000223,0.7424865,0.7055809,0.7598914,0.766179,0.7926964,0.8392613,0.8493761,0.854388,0.8023556,0.8378033,0.8111036,0.8145664,0.862407,0.8066385,0.8574862,0.8681479,0.7339208,0.802629,0.749412,0.7442179,0.7837662,0.7551529,0.8439998,0.7525102,0.7572488,0.8019912,0.8898357,0.7674547,0.7273598,0.769824,0.7549707,0.7703708,0.8451844,0.8168445,0.7955213,0.8039048,0.7958858,0.8271416,0.7985284,0.8044515,0.7777519,0.8218564,0.7286355,0.7992574,0.8214008,0.8395346,0.792423,0.858762,0.8220387,0.8107392,0.7910562,0.8146575,0.7525102,0.786591,0.7877756,0.7729223,0.7989841,0.7526014,0.7356521,0.7736513,0.7736513,0.7188851,0.786591,0.7609849,0.7350143,0.7532393,0.8080054,0.7928786,0.7228947,0.7345586,0.7913295,0.7917851,0.8184848,0.7888691,0.8717929,0.7657234,0.8258659,0.7773874,0.8604934,0.8042693,0.7391149,0.7156047,0.6831641,0.7546061,0.8688769,0.7568843,0.7750182,0.8315157,0.742851,0.7852241,0.8666899,0.9376763,0.734103,0.7911473,0.7608026,0.7347409
1027,Primary_Somatosensory_CortexForelimb_Region,1.917817,2.03874,2.0104,1.98042,1.910527,1.949437,2.027896,1.911256,1.885923,1.765456,1.813388,1.794798,1.906426,1.942329,1.8338,1.862868,1.902963,1.867151,1.914445,1.926656,1.988439,2.000285,1.966295,2.088676,1.769648,1.871252,1.943423,2.009124,1.898225,1.882551,1.909707,1.989259,1.767552,2.087856,2.035915,1.7804,1.862777,1.784228,1.767825,1.719984,1.740852,1.892211,1.76418,1.96502,1.99828,1.773475,1.843914,1.82496,1.796803,1.872345,1.774751,1.914992,1.887563,1.685084,1.927932,1.766367,1.74231,1.733471,1.932944,1.916723,1.791882,1.850111,1.755432,1.732104,1.748415,1.729097,1.72937,1.93832,1.975043,1.692465,1.833071,1.885103,1.69857,1.74796,1.663851,1.817033,1.861593,1.806371,1.92538,1.97559,1.930301,1.782587,1.876355,1.787508,1.729006,1.88893,1.779307,1.836898,1.945974,1.858677,1.918546,1.888839,1.754976,1.820769,1.746137,1.933217,1.677247,1.809743,1.856034,2.030265,1.776026,1.719164,1.730646,1.825598,1.759168,1.910982,1.878542,1.930392,1.903784,1.853391,1.893304,1.821407,1.816395,1.850567,1.893213,1.717797,1.672873,1.844006,1.901414,1.810107,1.781403,1.846284,1.869885,1.855487,1.811018,1.714881,1.714699,1.853391,1.827603,1.876811,1.697385,1.723812,1.718526,1.760353,1.556324,1.642255,1.730828,1.717342,1.729188,1.833435,1.755614,1.691827,1.822044,1.900685,1.829426,1.82979,1.852754,2.030265,1.769374,1.85813,1.905059,1.940507,1.851204,1.707774,1.685539,1.660389,1.780127,2.000832,1.695927,1.846193,1.944516,1.673146,1.842274,1.94479,2.144536,1.772655,1.943423,1.822865,1.600975
1028,Primary_Somatosensory_Cortex_Hindlimb_Region,1.764545,1.777667,1.693285,1.863689,1.687726,1.767734,1.74067,1.611272,1.722536,1.540924,1.582477,1.653737,1.847559,1.735567,1.640615,1.699026,1.729461,1.70103,1.662211,1.767734,1.921917,1.829426,1.75525,1.894307,1.690824,1.721898,1.578558,1.8379,1.674331,1.692374,1.750602,1.757619,1.679981,1.835713,1.788146,1.686997,1.749327,1.640888,1.799263,1.577283,1.672873,1.718709,1.646902,1.853483,1.809743,1.641617,1.615829,1.640706,1.619656,1.681347,1.692647,1.862504,1.803182,1.591316,1.818673,1.635329,1.629224,1.601795,1.817306,1.727912,1.617104,1.662485,1.650456,1.598788,1.665674,1.618471,1.663669,1.716066,1.818946,1.585302,1.617651,1.805004,1.606534,1.660389,1.548396,1.614279,1.677156,1.638519,1.762813,1.692556,1.710872,1.68882,1.675515,1.784957,1.593138,1.826874,1.548943,1.668225,1.822865,1.683534,1.727365,1.75853,1.652552,1.674331,1.613915,1.673875,1.614826,1.658566,1.691462,1.766003,1.59651,1.550036,1.638245,1.676518,1.697021,1.718891,1.611819,1.673511,1.746957,1.783316,1.81922,1.596601,1.704493,1.589676,1.719438,1.581383,1.555595,1.660298,1.721625,1.653281,1.744862,1.686086,1.673602,1.686633,1.634965,1.561791,1.617104,1.7075,1.673693,1.735658,1.613004,1.568261,1.462374,1.55113,1.432941,1.565892,1.509303,1.62084,1.521514,1.782587,1.5309,1.60863,1.530262,1.655832,1.584937,1.582021,1.685539,1.736478,1.615829,1.787326,1.601249,1.739212,1.711419,1.657564,1.620476,1.562794,1.61273,1.655286,1.59004,1.686177,1.845099,1.550219,1.684537,1.769283,1.761537,1.563614,1.69292,1.629862,1.504929
1029,Primary_Somatosensory_Cortex_Jaw_Region,1.595052,1.892302,1.646629,1.771014,1.730737,1.698023,1.616011,1.681621,1.724358,1.611637,1.65,1.667588,1.664672,1.609359,1.645535,1.644897,1.764818,1.598424,1.718344,1.62731,1.757528,1.655924,1.620749,1.587306,1.525797,1.702397,1.617469,1.728915,1.723994,1.676791,1.730555,1.613642,1.680983,1.706316,1.752425,1.619656,1.588127,1.685266,1.593138,1.586851,1.695836,1.72855,1.722718,1.730555,1.798261,1.611546,1.636241,1.558784,1.607354,1.740579,1.64508,1.640159,1.621569,1.502742,1.757528,1.413349,1.681165,1.613824,1.788237,1.770285,1.633325,1.652916,1.588218,1.616558,1.640523,1.645718,1.646811,1.765456,1.664125,1.589767,1.651732,1.761446,1.523428,1.646902,1.62649,1.612457,1.687271,1.726272,1.837809,1.695654,1.770103,1.576736,1.616649,1.511399,1.595872,1.744497,1.542017,1.59651,1.74067,1.618289,1.645353,1.573091,1.653554,1.725179,1.543111,1.71962,1.606534,1.453717,1.535092,1.696656,1.661664,1.639065,1.587944,1.628222,1.593685,1.843277,1.669775,1.67342,1.809743,1.809105,1.846648,1.643257,1.593412,1.587124,1.849746,1.664216,1.648269,1.668772,1.723812,1.671233,1.783134,1.747686,1.770468,1.664307,1.633507,1.623119,1.64271,1.627493,1.714426,1.697841,1.65082,1.662849,1.632504,1.619474,1.587124,1.544933,1.483059,1.640888,1.661391,1.745317,1.49044,1.541471,1.570084,1.566257,1.539739,1.475405,1.542291,1.700028,1.600611,1.569993,1.698479,1.688364,1.616284,1.613824,1.623392,1.566894,1.60863,1.77712,1.570175,1.513313,1.76582,1.403872,1.521059,1.776026,1.683808,1.426015,1.735293,1.492719,1.508119
1030,Primary_Somatosensory_Cortex_Shoulder_Region,0.068526,0.07991663,0.07709175,0.08246813,0.06898163,0.08811788,0.07554263,0.07964325,0.0754515,0.07390238,0.078003,0.07244438,0.09066938,0.08665988,0.08255925,0.07317337,0.07062188,0.08939363,0.07016625,0.07317337,0.07426688,0.09923512,0.075087,0.09139838,0.06825263,0.07207987,0.08046338,0.086751,0.067068,0.09167175,0.086022,0.0805545,0.07700063,0.08009887,0.08037225,0.0827415,0.0834705,0.079461,0.07991663,0.0761805,0.08110125,0.08392613,0.07463138,0.084564,0.07991663,0.07262663,0.06697688,0.06351413,0.06515437,0.07353788,0.06643013,0.084564,0.08155688,0.07964325,0.0893025,0.0652455,0.07053075,0.070713,0.08748,0.0769095,0.07135088,0.076545,0.09467888,0.07499588,0.09158063,0.09030488,0.08019,0.09103388,0.09777713,0.08501963,0.08219475,0.07517812,0.07080413,0.08748,0.07025738,0.0729,0.07116862,0.08301488,0.08192138,0.07772963,0.08383501,0.07900538,0.07982551,0.06442538,0.06861713,0.08902913,0.079461,0.07791188,0.06934613,0.06679463,0.0776385,0.06542775,0.06679463,0.07408462,0.078003,0.07499588,0.06652125,0.0710775,0.06825263,0.07153313,0.07536038,0.07235325,0.074358,0.08866463,0.06779701,0.0790965,0.07563375,0.07700063,0.08155688,0.08082788,0.07381126,0.07463138,0.07864088,0.07636275,0.08283263,0.08292376,0.081648,0.08356163,0.08939363,0.08802675,0.08301488,0.08046338,0.07772963,0.07845863,0.0812835,0.08210362,0.08839125,0.08356163,0.07372013,0.07991663,0.07827638,0.0893025,0.06715912,0.07262663,0.06169163,0.06643013,0.05194125,0.086022,0.07700063,0.0893025,0.07481363,0.075087,0.07955213,0.07754738,0.0783675,0.06779701,0.077274,0.0805545,0.08119237,0.07454025,0.071442,0.07463138,0.0645165,0.07335563,0.07444913,0.07517812,0.06898163,0.08183026,0.07299113,0.07700063,0.08593088,0.0688905,0.07098638,0.077274,0.08365275,0.06296737,0.07563375,0.07381126,0.0659745
1031,Primary_Somatosensory_Cortex_Trunk_Region,0.2454908,0.2801183,0.257337,0.2659939,0.2633513,0.2848568,0.2497736,0.2678164,0.2421191,0.2542388,0.2541476,0.2550589,0.305451,0.2706413,0.2827609,0.2629867,0.2765644,0.2525074,0.2925113,0.2524163,0.281394,0.2577015,0.272646,0.3135611,0.266085,0.2861325,0.253692,0.2531452,0.2561524,0.300348,0.2934225,0.3026261,0.2809384,0.329508,0.3059978,0.3247695,0.3556609,0.3255896,0.3050865,0.3203044,0.3175706,0.338985,0.2936048,0.3373448,0.3102806,0.2536009,0.2628045,0.2554234,0.2761088,0.3225825,0.256608,0.2563346,0.2852212,0.3153836,0.3294169,0.2678164,0.2651738,0.2730105,0.2915089,0.290871,0.3190286,0.2746508,0.3094605,0.2968853,0.3001658,0.2926935,0.2786603,0.303993,0.3059978,0.2897775,0.3030818,0.3202133,0.2283593,0.3004391,0.2557879,0.2913266,0.266085,0.3066356,0.336069,0.2951539,0.3174795,0.2862236,0.2935136,0.2720081,0.2705501,0.3917464,0.2701856,0.2928758,0.2870438,0.2613465,0.2736484,0.2458553,0.2495914,0.2874083,0.2447618,0.2648093,0.2589773,0.2567903,0.2740129,0.2906888,0.3152014,0.2935136,0.3060889,0.3206689,0.293058,0.3291435,0.2735572,0.2900509,0.2816674,0.2976142,0.3195754,0.2990723,0.3343376,0.3168416,0.3160215,0.2963385,0.326592,0.3085493,0.2729194,0.3008948,0.325863,0.2740129,0.3161126,0.2919645,0.3196665,0.292329,0.3259541,0.2756531,0.3170239,0.3377092,0.3334264,0.279936,0.274104,0.2962474,0.2418458,0.2661761,0.2248965,0.2946983,0.2737395,0.3195754,0.2679075,0.2805739,0.2893219,0.251505,0.2600708,0.2685454,0.273375,0.3065445,0.264627,0.2844923,0.269001,0.3092782,0.2786603,0.2775668,0.2723726,0.247131,0.2734661,0.3228559,0.2832165,0.2335534,0.2813029,0.2210693,0.2248054,0.2944249,0.2759265,0.2136881,0.2721904,0.2400233,0.2368339
1032,Primary_Somatosensory_Cortex_Upper_Lip_Region,2.351116,2.551591,2.568723,2.485435,2.545577,2.466025,2.445339,2.580751,2.538834,2.450351,2.467847,2.392487,2.457915,2.484341,2.411805,2.505391,2.579475,2.400962,2.516052,2.554143,2.693837,2.488624,2.476231,2.566536,2.385744,2.766829,2.56043,2.594238,2.645814,2.358497,2.425201,2.402784,2.244044,2.399777,2.411623,2.140708,2.384741,2.414083,2.254433,2.257622,2.291338,2.419642,2.285415,2.402055,2.564167,2.458097,2.519971,2.429757,2.457459,2.436227,2.475957,2.593509,2.517055,2.1562,2.442606,2.181259,2.276485,2.323232,2.472221,2.525529,2.241128,2.262634,2.121026,2.256528,2.229829,2.335443,2.339088,2.418184,2.454908,2.323688,2.297535,2.529994,2.200942,2.311932,2.282317,2.346104,2.313937,2.380732,2.479602,2.537011,2.427661,2.41545,2.267099,2.247689,2.29471,2.429484,2.286235,2.409709,2.5402,2.30446,2.287693,2.385379,2.367701,2.386199,2.281497,2.434951,2.237757,2.222174,2.282864,2.482427,2.208779,2.163216,2.254706,2.365605,2.346833,2.49154,2.512772,2.381187,2.425657,2.472404,2.511496,2.376084,2.24614,2.168957,2.501472,2.266643,2.237666,2.262816,2.436682,2.238759,2.440328,2.437047,2.364694,2.288331,2.312479,2.24368,2.298902,2.486892,2.328882,2.397772,2.254068,2.292158,2.32305,2.349476,2.350661,2.357586,2.338359,2.167226,2.291247,2.50776,2.282955,2.234112,2.369888,2.569452,2.530086,2.50211,2.4519,2.459737,2.548493,2.617019,2.407523,2.611734,2.4057,2.347562,2.371802,2.228553,2.390756,2.266097,2.263272,2.481425,2.657114,2.279127,2.440601,2.502748,2.579566,2.352392,2.379821,2.478873,2.3903
1033,Secondary_Somatosensory_Cortex,2.781226,3.074831,2.82287,2.889209,2.7856,3.037105,2.655383,2.898413,2.842189,2.739947,2.757625,2.690739,2.960834,2.838179,2.896317,2.999744,2.854491,2.799269,2.797811,2.830343,2.836174,2.966301,2.718988,2.96867,2.693382,2.886931,2.948805,2.961107,2.753069,2.86333,2.698849,2.788516,2.506302,2.795442,2.797446,2.45026,2.837086,2.627681,2.518513,2.703679,2.515688,3.016602,2.820866,2.723817,2.931947,2.733386,2.852213,2.656476,2.637795,2.824511,2.752431,2.820501,2.850663,2.455181,2.983524,2.535735,2.810477,2.569543,3.091142,2.980972,2.683631,2.585672,2.613465,2.603715,2.559428,2.79936,2.782775,3.030544,2.874903,2.593235,2.488259,3.042664,2.569087,2.760541,2.898595,2.788516,2.70295,2.741313,3.0618,2.823599,2.867339,2.74751,2.757625,2.505573,2.587586,2.948076,2.628227,2.704864,2.716072,2.616563,2.775394,2.615834,2.536738,2.736939,2.642443,2.675795,2.457186,2.596607,2.419824,2.903334,2.489626,2.764095,2.771385,2.713794,2.615196,2.784598,2.999744,2.859958,2.903516,2.830251,2.75398,2.717257,2.624673,2.408434,2.919372,2.750335,2.647728,2.729923,2.933678,2.784871,2.876725,2.790065,2.8893,2.859047,2.670236,2.368248,2.755529,2.852486,2.824328,2.834808,2.627772,2.652922,2.79453,2.582118,2.559793,2.652102,2.429484,2.560066,2.779768,2.834625,2.599067,2.67871,2.780953,2.854217,2.835628,2.861507,2.922197,2.840457,2.973773,2.743318,2.95728,2.679713,2.615379,2.557059,2.59041,2.658481,2.869617,2.663311,2.575284,2.676159,2.947985,2.61465,2.741496,2.786785,3.002022,2.589499,2.859047,2.714432,2.468029
1034,Temporal_Association_Cortex,1.113183,1.251602,1.14207,1.234653,1.132866,1.163302,1.10243,1.202121,1.224811,1.161024,1.181162,1.030624,1.138698,1.189728,1.221895,1.102157,1.072177,1.130679,1.136693,1.248321,1.144894,1.183532,1.217886,1.190548,1.04165,1.17123,1.147081,1.244221,1.099697,1.200025,1.274565,1.125576,1.210049,1.492445,1.530262,1.090219,1.380362,1.190639,1.067803,1.118559,1.03919,1.225449,1.196289,1.160933,1.290239,1.166673,1.060968,1.014404,1.180524,1.125485,1.109447,1.165398,1.194922,0.995814,1.428475,1.122569,1.134871,1.247684,1.208318,1.219253,1.079376,1.213329,1.244494,1.103888,1.076551,1.121111,1.136602,1.246499,1.221531,1.349106,1.224082,1.22554,1.037276,1.211507,1.092498,1.116737,1.059146,1.30008,1.363503,1.283313,1.356851,1.174328,1.29926,1.227545,1.197656,1.442418,1.223444,1.228365,1.389018,1.103524,1.129221,1.133048,1.111178,1.157105,1.140247,1.226816,1.120017,1.176515,1.090402,1.231919,1.201483,1.13478,1.17123,1.329878,1.141979,1.330972,1.288599,1.325869,1.276023,1.304546,1.321495,1.245132,1.332977,0.914166,1.19073,1.233104,1.260168,1.373436,1.185719,1.184534,1.206495,1.214514,1.212054,1.168223,1.301721,1.030077,1.319217,1.169498,1.199661,1.286776,1.272014,1.081927,1.088579,1.114277,1.04493,1.116828,1.157196,1.200116,1.106075,1.14617,1.146899,1.101975,1.174237,1.201574,1.1777,1.138425,1.217521,1.296891,1.169134,1.093956,1.25142,1.19802,1.247228,0.844911,1.266546,1.122204,1.19884,1.311107,1.077006,1.079649,1.307097,0.9537143,1.102612,1.197018,1.269736,1.00356,1.211689,1.150089,0.9436905
1035,Primary_Visual_Cortex,0.2474044,0.2760176,0.2423925,0.2464931,0.244944,0.2615288,0.2568814,0.2495003,0.2574281,0.2465843,0.2561524,0.2251699,0.256608,0.2516873,0.2432126,0.2782958,0.2641714,0.249318,0.2467665,0.2767466,0.2525074,0.2640803,0.2616199,0.2604353,0.252234,0.2728283,0.2503204,0.2239853,0.2482245,0.2484979,0.2847656,0.3625864,0.2796626,0.2685454,0.2634424,0.3152925,0.2520518,0.2536009,0.302535,0.2678164,0.3211245,0.3292346,0.2335534,0.305451,0.3330619,0.217242,0.2414813,0.2279948,0.2575192,0.2483156,0.2336445,0.2437594,0.2345558,0.2984344,0.2794804,0.2262634,0.2338268,0.2113189,0.2730105,0.2628045,0.3342465,0.2706413,0.3201221,0.3140168,0.3111919,0.3038107,0.3028084,0.3150191,0.3265009,0.2986166,0.28431,0.26244,0.2125035,0.2651738,0.2206136,0.2330978,0.2343735,0.2532364,0.2958829,0.2327332,0.2771111,0.2095875,0.2183355,0.2193379,0.2284504,0.2652649,0.237654,0.2292705,0.2366516,0.2175154,0.2265368,0.2195201,0.224532,0.2239853,0.2211604,0.2357404,0.2240764,0.2627134,0.234738,0.2630779,0.2980699,0.2167864,0.2246231,0.2549677,0.2472221,0.2329155,0.245673,0.2329155,0.2256255,0.2326421,0.2613465,0.2218894,0.2423014,0.2272658,0.309825,0.2207047,0.2836721,0.249318,0.2803005,0.2671785,0.2793893,0.2385653,0.2963385,0.2299084,0.2457641,0.2185178,0.2294528,0.2247142,0.239112,0.2447618,0.2884106,0.2350114,0.2153284,0.2104076,0.2088585,0.2144171,0.2100431,0.255879,0.2382919,0.2416635,0.2279036,0.2083118,0.212868,0.2395676,0.2219805,0.2363783,0.2207047,0.2460375,0.244215,0.2509583,0.2358315,0.282852,0.2437594,0.2410256,0.2278125,0.2149639,0.2324599,0.2293616,0.2193379,0.2239853,0.2457641,0.1918181,0.2400233,0.2612554,0.2847656,0.2087674,0.2298173,0.2269924,0.1963744
1036,Primary_Visual_Cortex_Binocular_Area,0.8052716,0.8595821,0.8642295,0.8255014,0.836892,0.8615869,0.8549348,0.909063,0.9087896,0.8593999,0.9001328,0.7970704,0.8364364,0.8840036,0.8469158,0.8942096,0.8403548,0.8885599,0.8655964,0.9521651,0.8883777,0.9285638,0.8904735,0.9628268,0.8265038,0.8789918,0.827415,0.8923872,0.8136551,1.000735,1.024518,1.126032,0.8472803,1.04083,1.149086,0.9722127,1.042926,0.8030847,0.8553904,0.7207988,0.9838766,0.9325733,0.7936077,0.9274703,0.9720304,0.7419398,0.761076,0.7872289,0.8199428,0.8765314,0.7910562,0.8493761,0.8029024,0.820854,1.064249,0.7476807,0.792423,0.7966148,0.8860084,0.8672367,0.8876486,0.8423595,1.024154,1.038552,0.9018642,0.8316067,0.7701885,0.8788095,0.9847879,0.9927158,0.8783539,0.8584887,0.6700422,0.7988018,0.7631719,0.7959769,0.7351054,0.8850971,1.123936,0.8163889,0.8999505,0.7976171,0.8433619,0.8050894,0.7691861,1.05459,0.8292375,0.8253192,0.8757113,0.7802123,0.7753826,0.7991663,0.7680926,0.7908739,0.7394794,0.7998042,0.7181562,0.8817255,0.7550617,0.8590354,0.8831835,0.7977994,0.8092812,1.019415,0.8484649,0.8524744,0.8943008,0.8798119,0.8203073,0.821583,0.8245901,0.8439998,0.8716106,0.7274509,0.8814521,0.8049983,1.019689,1.080287,0.8858262,1.024518,0.8730686,0.8188493,0.9414124,0.8007154,0.8739799,0.694008,0.874071,0.7831283,0.81648,0.8411749,0.9029577,0.8292375,0.7629896,0.754515,0.6817061,0.7242615,0.75816,0.926559,0.8373476,0.8396258,0.8611313,0.7254462,0.8047249,0.8738888,0.85293,0.8365275,0.8066385,0.9121613,0.866781,0.7803945,0.8437264,0.8513809,0.8257748,0.8422684,0.7716465,0.7845863,0.8430885,0.9082429,0.7528748,0.7568843,0.8953031,0.753786,0.8429063,1.002831,0.9489758,0.7405729,0.8739799,0.7952479,0.6864446
1037,Primary_Visual_Cortex_Monocular_Area,1.838903,2.050951,2.070816,1.929663,1.890388,2.023157,1.866422,1.977048,1.957912,1.909524,2.011676,1.825781,1.942694,2.044207,2.011767,1.949073,1.847468,1.989714,1.947432,2.020606,1.981878,1.979508,2.09469,2.040015,1.842365,2.042202,1.905697,1.939231,1.757619,2.088312,2.084758,2.311295,2.009944,2.374717,2.484432,1.991172,2.360958,1.91244,1.888019,1.767096,1.904604,2.059243,1.982698,2.004659,2.193379,1.955543,1.839632,1.740214,1.947341,2.016687,1.833071,1.907155,1.938684,1.77147,2.232107,1.693103,1.962924,1.851296,2.117836,2.109726,1.932123,2.049584,2.035004,2.026438,1.759441,1.903601,1.78441,2.195384,2.02015,1.959096,2.212697,2.273386,1.623939,1.872619,1.863142,1.823229,1.734655,2.065986,2.416088,1.954449,2.245502,2.006026,2.090681,2.173696,2.050859,2.498192,2.140526,2.109999,2.150641,1.80391,1.957547,1.870705,1.86141,1.90187,1.734747,2.018237,1.665856,2.044572,1.826327,1.791335,1.861593,1.844461,1.802726,2.131687,1.883007,2.125764,2.173422,2.150823,2.100705,2.063708,2.049675,1.935404,2.168684,1.613186,1.986707,1.854394,1.983062,2.109726,2.060245,1.985796,2.08166,1.98042,2.134876,1.988894,2.060701,1.647267,1.945883,1.813843,1.810016,1.99418,1.978871,1.837171,1.654466,1.602798,1.505112,1.601249,1.630044,1.902508,1.850111,2.036644,1.736114,1.600337,1.836078,1.780036,1.909707,1.882551,1.867334,2.054869,1.782314,1.745044,1.893031,1.86542,2.135514,2.023431,1.927749,1.841363,1.866422,1.956454,1.730555,1.687817,2.025071,1.649909,1.73174,2.150003,2.11975,1.497457,1.963926,1.719073,1.541744
1038,Secondary_Visual_CortexLateral_Area,0.9299306,1.027799,1.001099,1.022696,0.9430526,1.019507,0.9620066,1.026979,1.013948,1.039372,1.032629,0.9030488,0.9952673,1.009938,1.033995,1.009574,0.8971257,1.00438,0.986337,1.063702,1.033631,1.041285,1.026341,1.135509,0.944055,1.00274,0.9917134,1.031626,0.9230052,1.067803,1.244676,1.231554,0.9486113,1.263448,1.313931,1.025794,1.190275,0.9843323,0.9143483,0.9433261,0.9339402,1.007478,0.9025931,1.042926,1.080834,0.9343958,0.8953943,0.9065115,0.9979099,0.9680209,0.9456041,0.9731239,0.9672919,0.9325733,1.281855,0.8471891,0.9162619,1.026159,1.007569,1.000917,0.9717571,0.9648315,1.200663,1.054863,0.9890708,0.9782269,0.8761669,1.020236,1.052312,1.199387,0.9982744,1.045386,0.7933342,1.001737,0.8612224,0.9092453,0.8645029,1.009847,1.278302,1.025521,1.101884,0.9086074,0.9942649,0.9842411,0.9620978,1.321677,0.9912578,1.005929,1.03764,0.8773515,0.9087896,0.9195424,0.868968,0.9261034,0.862407,0.9460598,0.86751,0.9190868,0.8818166,0.9408656,1.041559,0.9551723,0.9453308,1.156103,0.9427793,1.055592,1.020965,1.075275,0.9694789,0.9771334,0.9592729,0.9703901,1.066436,0.8387145,0.9872483,0.9516184,1.146717,1.222442,1.035453,1.119653,1.059602,0.9729416,1.066892,0.9236431,1.059784,0.8590354,1.015315,0.9324821,0.9601842,1.035636,1.049487,1.010121,0.8928428,0.8912025,0.817209,0.8923872,0.9125258,0.9877039,0.9204537,0.9424148,0.9655606,0.8526567,0.951345,0.9802316,0.9631001,0.9353982,0.9391343,1.034998,0.9576327,0.9288372,0.9702079,0.9493403,0.9497048,0.9915311,0.9116145,0.9175376,0.9641025,1.071448,0.8557549,0.8632271,1.002284,0.8525655,0.9563569,1.0093,1.047755,0.8559371,0.9832388,0.9393165,0.791694
1039,Secondary_Visual_Cortex_Mediolateral_Area,0.5005496,0.5397334,0.5153119,0.4883389,0.5042858,0.5439252,0.4962668,0.4939886,0.4797731,0.501552,0.4837826,0.4663778,0.5411003,0.5262469,0.509571,0.5056527,0.4930774,0.5208705,0.5046502,0.4936242,0.5239688,0.477495,0.5024633,0.5463855,0.5082042,0.5061083,0.4808666,0.4357598,0.4620949,0.5258824,0.5481169,0.5917658,0.569349,0.6179187,0.6581048,0.5262469,0.6571935,0.5369085,0.5616034,0.5390955,0.5882119,0.5991469,0.5377287,0.5721739,0.5689845,0.4659221,0.4708429,0.4533469,0.5339014,0.5465677,0.472392,0.5048325,0.5199593,0.5333546,0.580284,0.5033745,0.5519441,0.4938064,0.5625147,0.5573205,0.5479347,0.5286161,0.5636082,0.5078396,0.5033745,0.4720275,0.4893413,0.5239688,0.5353594,0.5216907,0.5984179,0.6179187,0.4634618,0.5441074,0.5080219,0.4951733,0.5114846,0.5191391,0.6351413,0.5626969,0.5723562,0.5459299,0.5872095,0.5816509,0.5083864,0.6909097,0.5602365,0.5519441,0.5745431,0.4648286,0.4991828,0.4794998,0.5113935,0.5213261,0.4679269,0.4977248,0.4841471,0.4856963,0.5038301,0.4737589,0.547479,0.5013698,0.5316232,0.624753,0.5346304,0.572265,0.5683466,0.5911279,0.5334458,0.553311,0.6296738,0.5537667,0.6257554,0.5119402,0.5464767,0.5382754,0.5528554,0.607257,0.5449275,0.5123959,0.5982357,0.5487548,0.5934972,0.548208,0.5979623,0.527796,0.53946,0.5127604,0.5259735,0.5566826,0.6008782,0.4755814,0.4373089,0.4566274,0.4117939,0.4780418,0.4211798,0.5278872,0.5176811,0.5688022,0.4941709,0.4858785,0.4719364,0.4626416,0.5019165,0.4885211,0.480411,0.5376375,0.4653754,0.5026455,0.4752169,0.5647016,0.5502127,0.5302564,0.5050148,0.4466948,0.4812312,0.5714449,0.5138539,0.4318414,0.4940798,0.3950269,0.4216354,0.6233861,0.5536755,0.3788978,0.5516708,0.4471504,0.4400426
