ID,Genotype,Sex,Weight,Diet,Age,Allele
N60157,APOE44,Female,27.4,Control,14.07,HN
N60159,APOE44,Female,21.3,Control,14.1,HN
N60064,APOE22,Female,37,HFD,14.33,HN
N60101,APOE22,Female,38,HFD,14.33,HN
N60093,APOE22,Female,34,HFD,14.2,HN
N60161,APOE22,Male,29,Control,14.63,HN
N60167,APOE22,Male,31,Control,14.63,HN
N60194,APOE22,Male,31,Control,14.63,HN
N60088,APOE22,Male,47,HFD,13.77,HN
N60070,APOE22,Male,39,HFD,13.77,HN
N60072,APOE22,Male,37,HFD,13.77,HN
N60092,APOE22,Male,48,HFD,13.77,HN
